,Avp,,,Int,,,,
,F1 Score,BAccuracy,Accuracy,F1 Score,BAccuracy,Accuracy,Class,Test IX
66,0,0,0,0.528052805,0.358744395,0.358744395,[1],114
2,0.957790516,0.919,0.919,0.798882682,0.665116279,0.665116279,[0],115
124,0.881463803,0.788051209,0.788051209,0.930599369,0.87020649,0.87020649,[1],116
74,1,1,1,0.731428571,0.576576577,0.576576577,[0],117
48,0.611541774,0.44044665,0.44044665,0.918793503,0.849785408,0.849785408,[1],118
43,0.954163977,0.912345679,0.912345679,0.748743719,0.598393574,0.598393574,[0],119
106,0,0,0,0.396825397,0.247524752,0.247524752,[1],120
17,0.985832349,0.972060536,0.972060536,0.752186589,0.602803738,0.602803738,[0],121
98,0,0,0,0.324200913,0.19346049,0.19346049,[1],122
131,1,1,1,0.773755656,0.63099631,0.63099631,[0],123
13,0.992558672,0.985227273,0.985227273,1,1,1,[1],124
16,1,1,1,1,1,1,[1],125
132,0,0,0,0.350617284,0.21257485,0.21257485,[1],126
77,0.070617907,0.036601307,0.036601307,0.646216769,0.47734139,0.47734139,[1],127
28,0.47810219,0.314148681,0.314148681,0.009302326,0.004672897,0.004672897,[0],128
90,0.01589404,0.008010681,0.008010681,0.077419355,0.040268456,0.040268456,[1],129
139,0.444444444,0.285714286,0.285714286,0.142857143,0.076923077,0.076923077,[0],130
34,0,0,0,0.388888889,0.24137931,0.24137931,[1],131
19,1,1,1,0.258064516,0.148148148,0.148148148,[0],132
129,0.944869832,0.895500726,0.895500726,0.986089645,0.972560976,0.972560976,[1],133
20,1,1,1,0.907692308,0.830985915,0.830985915,[0],134
3,0.928293496,0.866182573,0.866182573,0.988235294,0.976744186,0.976744186,[1],135
38,0.917053749,0.846813725,0.846813725,0.870967742,0.771428571,0.771428571,[0],136
23,0.083521445,0.043580683,0.043580683,0.585669782,0.414096916,0.414096916,[1],137
73,0.015523933,0.007822686,0.007822686,0.856074766,0.748366013,0.748366013,[1],138
117,0.98659139,0.973537604,0.973537604,0.413793103,0.260869565,0.260869565,[0],139
